Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,Dropped
Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",TV,26,"Oct 3, 2003 to Mar 26, 2004",Fall 2003,TV Tokyo Music,"ADV Films, Sentai Filmworks, Discotek Media",Production I.G,Manga,12 min. per ep.,PG-13 - Teens 13 or older,631.0,1279,112001,1561,8242,49634,5164
El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",TV,13,"Jan 8, 1998 to Mar 26, 1998",Winter 1998,Pioneer LDC,Geneon Entertainment USA,AIC,Original,25 min. per ep.,PG-13 - Teens 13 or older,4315.0,4961,9684,10,275,6251,352
El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",TV,26,"Oct 6, 1995 to Mar 29, 1996",Fall 1995,"TV Tokyo, Geneon Universal Entertainment, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa","Nozomi Entertainment, Geneon Entertainment USA",AIC,Original,23 min. per ep.,PG-13 - Teens 13 or older,3735.0,4198,14603,35,613,8190,667
Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",TV,13,"Oct 3, 2004 to Dec 26, 2004",Fall 2004,Trinet Entertainment,Unknown,Zexcs,Visual novel,14 min. per ep.,PG-13 - Teens 13 or older,5567.0,2887,31774,48,958,21798,1088
Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,26,"Jul 5, 2001 to Dec 27, 2001",Summer 2001,"TV Tokyo, Nihon Ad Systems, King Records",Funimation,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1058.0,314,420919,9504,15410,297921,16709
Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,"Oct 4, 2003 to Oct 2, 2004",Fall 2003,"Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System","Funimation, Aniplex of America",Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,337.0,52,1151621,26564,52738,880215,38693
Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,52,"Apr 6, 2002 to Mar 29, 2003",Spring 2002,Nihon Ad Systems,VIZ Media,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,585.0,1519,90884,1823,3807,51760,5484
Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,52,"Apr 6, 1995 to Mar 28, 1996",Spring 1995,"TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon","Media Blasters, Geneon Entertainment USA",Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1172.0,1434,96861,2277,5124,53674,5964
Futakoi,6.49,"Comedy, Romance, School",TV,13,"Oct 6, 2004 to Dec 29, 2004",Fall 2004,Lantis,Unknown,Telecom Animation Film,Original,24 min. per ep.,PG-13 - Teens 13 or older,5946.0,2900,31358,22,1052,19836,1485
Futakoi Alternative,6.91,"Comedy, Drama, Romance",TV,13,"Apr 7, 2005 to Jun 30, 2005",Spring 2005,Lantis,Unknown,"ufotable, feel., Studio Flag",Original,24 min. per ep.,PG-13 - Teens 13 or older,3968.0,3071,28297,71,1073,13965,1565
Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,24,"Apr 3, 2000 to Sep 18, 2000",Spring 2000,Media Factory,Geneon Entertainment USA,Gonzo,Game,25 min. per ep.,PG-13 - Teens 13 or older,3767.0,3717,19351,59,726,11013,1182
Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,50,"Apr 4, 2000 to Mar 27, 2001",Spring 2000,"TV Tokyo, Dentsu, Group TAC",ADV Films,Studio Pierrot,Manga,23 min. per ep.,R - 17+ (violence & profanity),1315.0,2359,46228,833,2628,22100,3069
Saiyuuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,25,"Oct 2, 2003 to Mar 25, 2004",Fall 2003,Unknown,Geneon Entertainment USA,Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1858.0,3071,28277,116,1224,15616,1189
Saiyuuki Reload Gunlock,7.42,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,26,"Apr 2, 2004 to Sep 24, 2004",Spring 2004,Unknown,Geneon Entertainment USA,Studio Pierrot,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1840.0,3724,19393,51,728,10446,519
GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,49,"Oct 5, 2002 to Sep 20, 2003",Fall 2002,"TBS, Kodansha, Rondo Robe, Rakuonsha","ADV Films, Sentai Filmworks",Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1249.0,1339,105139,911,5642,55921,7436
Green Green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life",TV,12,"Jul 12, 2003 to Sep 27, 2003",Summer 2003,"Pony Canyon, Memory-Tech, Studio Jack",Media Blasters,Studio Matrix,Visual novel,24 min. per ep.,R+ - Mild Nudity,7303.0,1333,106208,263,2671,79017,5446
Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",TV,13,"Oct 9, 2003 to Feb 19, 2004",Fall 2003,"Marvelous, Fuji TV",Funimation,Madhouse,Manga,24 min. per ep.,R - 17+ (violence & profanity),1821.0,920,161010,1140,6742,82948,8160
Hikaru no Go,8.11,"Comedy, Game, Shounen, Supernatural",TV,75,"Oct 10, 2001 to Mar 26, 2003",Fall 2001,"TV Tokyo, Dentsu, Dream Force",VIZ Media,Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,400.0,1287,111164,2186,5480,62705,6700
Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",TV,62,"Oct 16, 1999 to Mar 31, 2001",Fall 1999,Fuji TV,VIZ Media,Nippon Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,143.0,319,416227,9525,28061,260968,15100
Jinki:Extend,6.14,"Mecha, Sci-Fi",TV,12,"Jan 6, 2005 to Mar 24, 2005",Winter 2005,"TV Asahi, GANSIS","ADV Films, Funimation",feel.,Manga,23 min. per ep.,R - 17+ (violence & profanity),7618.0,4923,9900,10,420,4784,699
Kamikaze Kaitou Jeanne,7.45,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",TV,44,"Feb 13, 1999 to Jan 29, 2000",Winter 1999,Unknown,Unknown,Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1746.0,2363,46140,499,1518,32304,1977
Kannazuki no Miko,6.87,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",TV,12,"Oct 2, 2004 to Dec 18, 2004",Fall 2004,"Studio Fantasia, Geneon Universal Entertainment, Remic, Front Line, Kodansha, Rondo Robe, Memory-Tech, Toshiba Entertainment","Sentai Filmworks, Geneon Entertainment USA",TNK,Manga,24 min. per ep.,PG-13 - Teens 13 or older,4169.0,2000,60077,767,2269,33411,2994
Kanon,7.11,"Drama, Romance, Slice of Life, Supernatural",TV,13,"Jan 31, 2002 to Mar 28, 2002",Winter 2002,"Movic, Fuji TV, Fujipacific Music",Funimation,Toei Animation,Visual novel,24 min. per ep.,G - All Ages,3174.0,2105,55784,248,1418,32662,2522
Kareshi Kanojo no Jijou,7.61,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,26,"Oct 2, 1998 to Mar 26, 1999",Fall 1998,"TV Tokyo, GANSIS",Nozomi Entertainment,"Gainax, J.C.Staff",Manga,24 min. per ep.,PG-13 - Teens 13 or older,1254.0,875,170539,2188,11136,75368,7994
Kono Minikuku mo Utsukushii Sekai,6.76,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",TV,12,"Apr 2, 2004 to Jun 18, 2004",Spring 2004,"Geneon Universal Entertainment, TBS, Rondo Robe, Movic",ADV Films,"Gainax, Shaft",Original,24 min. per ep.,R+ - Mild Nudity,4625.0,2145,54222,178,1995,33816,2381
Kimi ga Nozomu Eien,7.24,"Drama, Romance, Slice of Life",TV,14,"Oct 5, 2003 to Jan 4, 2004",Fall 2003,"Lantis, Media Factory, Age",Funimation,Studio Fantasia,Visual novel,23 min. per ep.,R+ - Mild Nudity,2604.0,1187,123752,1072,3792,75846,4458
Kita e.: Diamond Dust Drops,6.62,"Drama, Romance, Slice of Life",TV,12,"Jan 20, 2004 to Apr 5, 2004",Winter 2004,Unknown,ADV Films,Studio Deen,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,5305.0,5411,7823,9,345,2781,418
Loveless,6.86,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",TV,12,"Apr 7, 2005 to Jun 30, 2005",Spring 2005,"Bandai Visual, TV Asahi, Movic",Media Blasters,J.C.Staff,Manga,24 min. per ep.,PG-13 - Teens 13 or older,4203.0,1215,121063,1632,4134,81173,8783
Blood+,7.66,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",TV,50,"Oct 8, 2005 to Sep 23, 2006",Fall 2005,"Aniplex, Mainichi Broadcasting System",Sony Pictures Entertainment,Production I.G,Original,24 min. per ep.,R - 17+ (violence & profanity),1116.0,431,317767,4623,17892,163002,20329
Solty Rei,7.28,"Action, Sci-Fi, Super Power",TV,24,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,"AIC, TV Asahi, Sotsu Music Publishing",Funimation,Gonzo,Original,23 min. per ep.,R - 17+ (violence & profanity),2447.0,3233,25666,124,1098,13419,1473
Juuni Kokuki,8.06,"Action, Adventure, Fantasy, Magic, Supernatural",TV,45,"Apr 9, 2002 to Aug 30, 2003",Spring 2002,Sogo Vision,"Media Blasters, Discotek Media, Tokyopop",Studio Pierrot,Novel,25 min. per ep.,PG-13 - Teens 13 or older,464.0,1266,113627,2261,6948,41705,4897
Shaman King,7.78,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,64,"Jul 4, 2001 to Sep 25, 2002",Summer 2001,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music",4Kids Entertainment,Xebec,Manga,23 min. per ep.,PG-13 - Teens 13 or older,853.0,477,294021,3672,11999,208822,13069
X/1999,6.59,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",Movie,1,"Aug 3, 1996",Unknown,"Kadokawa Shoten, Victor Entertainment, Marubeni, Movic, Sega, Shelty",Manga Entertainment,Madhouse,Manga,1 hr. 37 min.,R - 17+ (violence & profanity),5420.0,2904,31227,128,454,22871,351
X,7.43,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",TV,24,"Oct 3, 2001 to Mar 27, 2002",Fall 2001,"Bandai Visual, Kadokawa Shoten, d-rights, chara-ani.com","Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min. per ep.,R+ - Mild Nudity,1804.0,1818,69684,796,2710,39454,3006
Mahou Sensei Negima!,6.98,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",TV,26,"Jan 6, 2005 to Jun 30, 2005",Winter 2005,Starchild Records,"Funimation, Sentai Filmworks",Xebec,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3708.0,1208,121120,601,5607,74264,7468
Maria-sama ga Miteru,7.34,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",TV,13,"Jan 8, 2004 to Apr 1, 2004",Winter 2004,"Rondo Robe, TV Tokyo Music","Nozomi Entertainment, Maiden Japan",Studio Deen,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,2178.0,2170,53511,663,2234,22274,2716
Boukyaku no Senritsu,6.34,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",TV,24,"Apr 7, 2004 to Sep 22, 2004",Spring 2004,"Kadokawa Shoten, TBS, KENMedia",Geneon Entertainment USA,"Gainax, J.C.Staff",Manga,23 min. per ep.,PG-13 - Teens 13 or older,6657.0,3975,16632,43,785,6788,1212
"Ima, Soko ni Iru Boku",7.66,"Adventure, Drama, Fantasy, Military, Sci-Fi",TV,13,"Oct 14, 1999 to Jan 20, 2000",Fall 1999,"Victor Entertainment, Pioneer LDC, Rakuonsha",Central Park Media,AIC,Original,25 min. per ep.,R - 17+ (violence & profanity),1140.0,1309,108100,1018,4451,39741,2434
Peace Maker Kurogane,7.33,"Action, Comedy, Historical, Samurai, Shounen",TV,24,"Oct 8, 2003 to Mar 24, 2004",Fall 2003,"GDH, TV Asahi, Imagica","ADV Films, Funimation",Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity),2186.0,2251,50151,307,2172,26653,2148
Pita Ten,6.94,"Comedy, Fantasy, Kids, Romance, School, Shounen",TV,26,"Apr 7, 2002 to Sep 29, 2002",Spring 2002,Broccoli,Nozomi Entertainment,Madhouse,Manga,24 min. per ep.,G - All Ages,3863.0,3626,20422,104,743,11980,1557
Power Stone,6.48,"Adventure, Comedy, Fantasy, Historical, Shounen",TV,26,"Apr 3, 1999 to Sep 25, 1999",Spring 1999,Avex Entertainment,ADV Films,Studio Pierrot,Game,20 min. per ep.,PG - Children,6015.0,5874,6378,20,196,4024,447
Mononoke Hime,8.72,"Action, Adventure, Fantasy",Movie,1,"Jul 12, 1997",Unknown,"Tokuma Shoten, Nippon Television Network",GKIDS,Studio Ghibli,Original,2 hr. 15 min.,PG-13 - Teens 13 or older,40.0,91,876813,17114,11422,735624,1386
RahXephon,7.42,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",TV,26,"Jan 21, 2002 to Sep 11, 2002",Winter 2002,"Asatsu DK, Fuji TV",ADV Films,Bones,Original,23 min. per ep.,PG-13 - Teens 13 or older,1820.0,1395,100343,949,4101,46207,4203
Samurai 7,7.48,"Historical, Mecha, Samurai, Sci-Fi",TV,26,"Jun 12, 2004 to Dec 25, 2004",Summer 2004,"GDH, Sotsu Music Publishing",Funimation,Gonzo,Other,26 min. per ep.,PG-13 - Teens 13 or older,1646.0,1295,110124,744,4453,67372,4474
Scrapped Princess,7.41,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",TV,24,"Apr 8, 2003 to Oct 7, 2003",Spring 2003,"Kadokawa Shoten, A-Line","Funimation, Bandai Entertainment",Bones,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,1861.0,1637,81917,433,3417,42524,3269
s.CRY.ed,7.38,"Action, Sci-Fi, Adventure, Super Power, Drama",TV,26,"Jul 4, 2001 to Dec 26, 2001",Summer 2001,Yomiko Advertising,"Bandai Entertainment, Sentai Filmworks, Discotek Media",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,1969.0,1787,72311,673,2428,44099,2840
Shingetsutan Tsukihime,6.91,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",TV,12,"Oct 10, 2003 to Dec 26, 2003",Fall 2003,"TBS, Rondo Robe, Movic","Sentai Filmworks, Geneon Entertainment USA",J.C.Staff,Visual novel,24 min. per ep.,R - 17+ (violence & profanity),3970.0,1086,135721,654,5080,77659,4104
Slam Dunk,8.53,"Comedy, Drama, School, Shounen, Sports",TV,101,"Oct 16, 1993 to Mar 23, 1996",Fall 1993,"TV Asahi, Animax","Flatiron Film Company, Geneon Entertainment USA",Toei Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,92.0,728,201203,5471,15530,108713,7862
Strange Dawn,6.35,"Adventure, Drama, Fantasy",TV,13,"Jul 11, 2000 to Sep 26, 2000",Summer 2000,Unknown,Urban Vision,Hal Film Maker,Original,23 min. per ep.,PG - Children,6634.0,7014,4112,7,180,1487,205
Tactics,7.23,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",TV,25,"Oct 6, 2004 to Mar 30, 2005",Fall 2004,"Studio Izena, MediaNet",Manga Entertainment,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2668.0,2670,36569,184,2144,15626,2272
Tenjou Tenge,6.93,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",TV,24,"Apr 2, 2004 to Sep 17, 2004",Spring 2004,TV Asahi,"Discotek Media, Geneon Entertainment USA",Madhouse,Manga,23 min. per ep.,R - 17+ (violence & profanity),3911.0,934,158482,647,7266,100783,8559
Tokyo Underground,6.63,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",TV,26,"Apr 2, 2002 to Sep 24, 2002",Spring 2002,TV Tokyo Music,"Discotek Media, Geneon Entertainment USA",Studio Pierrot,Manga,25 min. per ep.,PG-13 - Teens 13 or older,5230.0,3254,25243,41,1335,13386,1740
Tsubasa Chronicle,7.55,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",TV,26,"Apr 9, 2005 to Oct 15, 2005",Spring 2005,"NHK, Kodansha",Funimation,Bee Train,Manga,25 min. per ep.,PG-13 - Teens 13 or older,1437.0,759,195978,2284,9373,106909,11986
Ultra Maniac,7.18,"Comedy, Magic, Romance, School, Shoujo",TV,26,"May 20, 2003 to Nov 11, 2003",Spring 2003,"WAO World, Studio Jack","Discotek Media, Geneon Entertainment USA",Production Reed,Manga,24 min. per ep.,G - All Ages,2871.0,3103,27718,141,1221,15384,1595
Vandread,7.21,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,13,"Oct 3, 2000 to Dec 19, 2000",Fall 2000,"GDH, Dentsu, Media Factory","Funimation, Geneon Entertainment USA",Gonzo,Original,22 min. per ep.,PG-13 - Teens 13 or older,2723.0,1771,73554,436,2047,53218,2410
Vandread: The Second Stage,7.42,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,13,"Oct 5, 2001 to Jan 18, 2002",Fall 2001,"GDH, Dentsu, Media Factory","Funimation, Geneon Entertainment USA",Gonzo,Original,22 min. per ep.,PG-13 - Teens 13 or older,1850.0,2326,47649,117,807,40117,601
Tenkuu no Escaflowne,7.7,"Adventure, Psychological, Romance, Fantasy, Mecha",TV,26,"Apr 2, 1996 to Sep 24, 1996",Spring 1996,"TV Tokyo, Bandai Visual","Funimation, Bandai Entertainment",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,1037.0,1157,127239,2086,4987,70674,4211
Whistle!,7.39,"School, Shounen, Sports",TV,39,"May 6, 2002 to Feb 3, 2003",Spring 2002,Marvelous,Unknown,Studio Comet,Manga,24 min. per ep.,G - All Ages,1939.0,4545,12063,73,542,7300,603
Xenosaga The Animation,6.37,"Action, Mecha, Sci-Fi, Shounen, Space",TV,12,"Jan 6, 2005 to Mar 24, 2005",Winter 2005,Happinet Pictures,"ADV Films, Funimation",Toei Animation,Game,23 min. per ep.,PG-13 - Teens 13 or older,6577.0,3838,17824,46,637,9556,1200
Initial D First Stage,8.29,"Action, Cars, Drama, Seinen, Sports",TV,26,"Apr 19, 1998 to Dec 6, 1998",Spring 1998,"OB Planning, Fuji TV","Funimation, Tokyopop","Gallop, Studio Comet",Manga,25 min. per ep.,PG-13 - Teens 13 or older,231.0,638,229315,6949,14291,148516,4915
Initial D Second Stage,8.12,"Action, Cars, Drama, Seinen, Sports",TV,13,"Oct 15, 1999 to Jan 21, 2000",Fall 1999,"OB Planning, Fuji TV","Funimation, Tokyopop",Pastel,Manga,23 min. per ep.,PG-13 - Teens 13 or older,391.0,1095,134642,691,3055,114742,751
Initial D Third Stage,7.89,"Action, Cars, Sports, Drama, Romance, Seinen",Movie,1,"Jan 13, 2001",Unknown,OB Planning,Funimation,Studio Deen,Manga,1 hr. 45 min.,PG-13 - Teens 13 or older,689.0,1270,113842,469,1340,98309,348
Love Hina,7.14,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",TV,24,"Apr 19, 2000 to Sep 27, 2000",Spring 2000,"Production I.G, TV Tokyo, Yomiko Advertising","Funimation, Bandai Entertainment",Xebec,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3037.0,645,225891,1584,7492,154064,11599
Maburaho,6.8,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School",TV,24,"Oct 14, 2003 to Apr 6, 2004",Fall 2003,"Kadokawa Shoten, KlockWorx, Happinet Pictures, Sony PCL",ADV Films,J.C.Staff,Light novel,24 min. per ep.,R+ - Mild Nudity,4444.0,1583,85634,259,3675,58233,4208
Onegai☆Teacher,7.17,"Sci-Fi, Comedy, Drama, Romance, School",TV,12,"Jan 10, 2002 to Mar 28, 2002",Winter 2002,"Bandai Visual, Genco","Nozomi Entertainment, Bandai Entertainment",Daume,Original,23 min. per ep.,PG-13 - Teens 13 or older,2877.0,1008,147889,926,3832,109656,4175
Onegai☆Twins,6.88,"Comedy, Drama, Harem, School, Sci-Fi",TV,12,"Jul 15, 2003 to Oct 14, 2003",Summer 2003,"Bandai Visual, Genco, Lantis","Nozomi Entertainment, Bandai Entertainment",Daume,Original,25 min. per ep.,PG-13 - Teens 13 or older,4123.0,1699,77733,192,1717,60488,2083
Rizelmine,6.55,"Sci-Fi, Comedy, Romance, Ecchi, School",TV,24,"Apr 3, 2002 to Dec 22, 2002",Spring 2002,m.o.e.,Unknown,"Madhouse, Imagin",Manga,15 min. per ep.,R+ - Mild Nudity,5608.0,3495,21968,51,959,12205,1638
Speed Grapher,7.35,"Action, Mystery, Super Power",TV,24,"Apr 8, 2005 to Sep 30, 2005",Spring 2005,"TV Asahi, WAO World, TAP",Funimation,Gonzo,Original,23 min. per ep.,R+ - Mild Nudity,2105.0,1458,95801,602,4968,41984,4861
Sen to Chihiro no Kamikakushi,8.83,"Adventure, Supernatural, Drama",Movie,1,"Jul 20, 2001",Unknown,Toho,"Walt Disney Studios, GKIDS",Studio Ghibli,Original,2 hr. 5 min.,PG - Children,23.0,41,1245727,25610,14444,1124666,1437
Tenshi na Konamaiki,7.48,"Comedy, Magic, Romance, Shounen",TV,50,"Apr 6, 2002 to Mar 29, 2003",Spring 2002,Unknown,Unknown,TMS Entertainment,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1653.0,3426,22832,133,1595,9671,1553
Wolf's Rain,7.82,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",TV,26,"Jan 7, 2003 to Jul 29, 2003",Winter 2003,"Bandai Visual, Asatsu DK, Fuji TV","Funimation, Bandai Entertainment",Bones,Original,23 min. per ep.,PG-13 - Teens 13 or older,803.0,528,271685,5716,12930,135944,11858
Yumeria,6.11,"Action, Comedy, Ecchi, Harem, Super Power",TV,12,"Jan 9, 2004 to Mar 26, 2004",Winter 2004,Unknown,"ADV Films, Sentai Filmworks",Studio Deen,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,7783.0,3283,24902,35,1108,15177,1630
Samurai Champloo,8.5,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,"May 20, 2004 to Mar 19, 2005",Spring 2004,"Victor Entertainment, Fuji TV, Barnum Studio, Tokuma Shoten, flying DOG","Funimation, Geneon Entertainment USA",Manglobe,Original,24 min. per ep.,R - 17+ (violence & profanity),105.0,86,892196,29414,59611,551621,19921
Lodoss-tou Senki: Eiyuu Kishi Den,7.16,"Action, Adventure, Drama, Magic, Romance, Fantasy",TV,27,"Apr 1, 1998 to Sep 30, 1998",Spring 1998,"Kadokawa Shoten, Yomiko Advertising, Marubeni","Funimation, Central Park Media",AIC,Novel,24 min. per ep.,PG-13 - Teens 13 or older,2951.0,3255,25344,117,1161,11810,1143
R.O.D: The TV,7.55,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama",TV,26,"Sep 1, 2003 to Mar 16, 2004",Fall 2003,"Aniplex, Studio Deen, Broccoli, Sony Music Entertainment","Aniplex of America, Geneon Entertainment USA",J.C.Staff,Light novel,25 min. per ep.,PG-13 - Teens 13 or older,1410.0,1971,61604,423,2391,32941,2575
Ranma ½,7.76,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen",TV,161,"Apr 15, 1989 to Sep 25, 1992",Spring 1989,"Shogakukan-Shueisha Productions, Kitty Films, Fuji TV, Shogakukan",VIZ Media,Studio Deen,Manga,24 min. per ep.,R+ - Mild Nudity,891.0,767,194975,3665,18777,97406,17404
Project A-Ko,6.86,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power",Movie,1,"Jun 21, 1986",Unknown,Soeishinsha,"Central Park Media, Discotek Media",APPP,Original,1 hr. 24 min.,PG-13 - Teens 13 or older,4200.0,4227,14403,104,303,8473,142
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.94,"Comedy, Romance",Movie,1,"Oct 19, 2002",Unknown,"Geneon Universal Entertainment, I-move",Unknown,Bones,Visual novel,48 min.,PG-13 - Teens 13 or older,8395.0,8347,2450,3,70,1498,65
Kidou Senkan Nadesico,7.52,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space",TV,26,"Oct 1, 1996 to Mar 25, 1997",Fall 1996,"Starchild Records, Yomiko Advertising, Audio Tanaka","ADV Films, Nozomi Entertainment",Xebec,Original,23 min. per ep.,PG-13 - Teens 13 or older,1521.0,2424,43756,420,2293,20469,1736
Kidou Senkan Nadesico: The Prince of Darkness,6.77,"Action, Comedy, Drama, Mecha, Psychological, Sci-Fi, Shounen, Space",Movie,1,"Aug 1, 1998",Unknown,"TV Tokyo, Starchild Records, Kadokawa Shoten, Toei Video, Movic, Sega, King Records, Audio Tanaka","ADV Films, Nozomi Entertainment",Xebec,Original,1 hr. 19 min.,R - 17+ (violence & profanity),4595.0,4347,13414,33,243,9758,115
